tweet,created_at,retweeted,username,user_tz,user_location,user_coordinates,polaridade
 @esquerdavalente video jurista carol proner diz que libeacao de lula depende de mobilizacao nas ruas  ,Mon May 14 03:05:52 +0000 2018,False,bobpenno,Santiago,Ijuï¿½ - RS,,positivo

 @rogercorrea85 @munaier a maioria querendo comparar crime politico (dilma  lula  etc) com ditadura  perseguicao  toura e assassinatoï¿½,Mon May 14 03:05:54 +0000 2018,False,AKA_whothefuck,Brasilia,Brazil,,positivo

 @annalugama precisamos tirar lula do calabouco de curitiba o lider nas pesquisas ï¿½ pode ser impedido de concorrer ou continuar presoï¿½,Mon May 14 03:05:57 +0000 2018,False,RBORLINA,,,,positivo

 @ptbrasii neste 12 de maio faz dois anos que a presidenta dilma rousseff  eleita com mais de 54 milhoes de votos  foi afastada do cargoï¿½,Mon May 14 03:05:59 +0000 2018,False,margoth007,,,,positivo

 @marivoneprof #ocupacuritiba37odia invadida  &lt ministros do @stf_oficial &gt  o odio nao tira ferias grupo republica de curitiba faz pï¿½,Mon May 14 03:06:04 +0000 2018,False,MarioJayGovinda,America/Sao_Paulo,Terra,,positivo

" @miriammmorais20 eles perseguem o cara  prendem  dizem que so soltam se ele desistir de ser candidato
so vi na historia de herodes aï¿½",Mon May 14 03:06:05 +0000 2018,False,magnamoreira_,Brasilia,Picos Piauï¿½ Brasil ,,positivo

 @jairbolsonaro a esquerda quer a apuracao imediata dos tiros no onibus do lula e quanto aos tiros que mataram celso daniel  alguem ouvï¿½,Mon May 14 03:06:07 +0000 2018,False,TorcedorMor,,,,negativo

 @muylaee coracao mole da imprensa com o fim de lula nao sensibiliza populacao  mas destroi reputacao daqueles que ousam chorar a prisï¿½,Mon May 14 03:06:10 +0000 2018,False,kelmenezes90,,,,negativo

 @dcm_online video jurista carol proner diz que libeacao de lula depende de mobilizacao nas ruas  ,Mon May 14 03:06:10 +0000 2018,False,br_green_heart,Brasilia,Everywhere,,positivo

" @newsatual2017 a poas fechadas  pt se cala diante de caa de lula e sinal de toffoli 
",Mon May 14 03:06:09 +0000 2018,False,ademar877,Brasilia,"Ecaterimburgo, Rï¿½ssia",,negativo

" @miriammmorais20 eles perseguem o cara  prendem  dizem que so soltam se ele desistir de ser candidato
so vi na historia de herodes aï¿½",Mon May 14 03:06:10 +0000 2018,False,NeideImb,Brasilia,Sï¿½o Paulo,,positivo

 @coimbrafilho relacoes perigosas as #farc  o #pt e o governo #lula  via @veja,Mon May 14 03:06:13 +0000 2018,False,luiztenda,Brasilia,,,negativo

 @brgil39 mais um inocenta lula empresario inocenta lula no caso do sitio de atibaia confira ,Mon May 14 03:06:14 +0000 2018,False,heldeni3rios,Brasilia,Tres Rios - RJ,,positivo

 @gfiuza_oficial se o brasil tivesse alcancado a democracia venezuelana  como pediu lula  quem estava preso era o moro,Mon May 14 03:06:19 +0000 2018,False,fabianotalini,Brasilia,Brasil,,negativo

"retweeted gil silva (@brgil39)

mais um inocenta lula empresario inocenta lula no caso do sitio de atibaia confiï¿½ ",Mon May 14 03:06:24 +0000 2018,False,heldeni3rios,Brasilia,Tres Rios - RJ,,positivo

" @jdanieldf impugnacao da candidatura de lula e quase cea  avalia nelson jobim
expresidente do stf diz que pt conseguira registrarï¿½",Mon May 14 03:06:25 +0000 2018,False,yale_mendes,,Brasil,,negativo

 @lulapelobrasil ha quatro anos  lula paicipava da inauguracao da unilab  em sao francisco do conde (ba) ï¿½foram anos de escravidao  aï¿½,Mon May 14 03:06:26 +0000 2018,False,PimentelAda,,,,neutro

 @gleisi quem deu estabilidade ao brasil foi lula  fazendo uma grande poupanca externa isso a midia esconde e uma vergonha ,Mon May 14 03:06:30 +0000 2018,False,ViviCris52,Brasilia,"Rio de Janeiro, Brasil",,positivo

 @paulacamara_ warlley alves no  #ufcrionocombate  lula livre   livre de toda mordomia bandido tem que ta na cadeia voce ta na cadeiï¿½,Mon May 14 03:06:32 +0000 2018,False,hfreddi,America/Sao_Paulo,"Sï¿½o Paulo, SP - BRASIL",,negativo

 @augustosnunes paulo okamotto e gilbeo carvalho juram que lula demorou 111 fins de semana para concluir que atibaia fica longe de saoï¿½,Mon May 14 03:06:32 +0000 2018,False,SRoberto01,,,,negativo

 @alexandredelg42 @analisdocspf @lobaoeletrico e se a cia tivesse investigado isso  seria ï¿½golpeï¿½ ceamenteï¿½,Mon May 14 03:06:33 +0000 2018,False,dimatos66,Pacific Time (US & Canada),"Brasï¿½lia de Minas, Brasil",,neutro

 @dcm_online video jurista carol proner diz que libeacao de lula depende de mobilizacao nas ruas ,Mon May 14 03:06:34 +0000 2018,False,sergioronnie,Brasilia,sï¿½o luis ma,,positivo

" @enfanaleao retweeted eu sou lula maria fro da silva (@maria_fro)

#panamaleaks (12/02/2016)
nosso investigador e o triplex de paratyï¿½",Mon May 14 03:06:35 +0000 2018,False,MarceloACoelho1,Azores,,,neutro

" @delucca cenarios de segundo turno da pesquisa cnt/mda

lula 45 7% x 25 9% bolsonaro
lula 44 4% x 21 0% marina
lula 44 9% x 19 6% alckï¿½",Mon May 14 16:31:44 +0000 2018,False,_ymid,Brasilia,,,positivo

 @souguereira londres pede a libeacao de lula o mundo inteiro sabe que #lulapresopolitico ,Mon May 14 16:31:46 +0000 2018,False,PretaLulaSiva,,,,positivo

" @renovamidia jair bolsonaro (psl) manteve a lideranca da corrida presidencial  de acordo com pesquisa divulgada hoje

apesar de algunsï¿½",Mon May 14 16:31:46 +0000 2018,False,marksm2018,,,,negativo

@legadodacopa po legas primeiro o lula e agora o guerrero  a lista de craques injustamente fora da disputa em 2018 so aumenta bixo,Mon May 14 16:31:47 +0000 2018,False,prof_de_baleies,,"Sï¿½o Paulo, Brasil",,positivo

 @revistaforum pesquisa cntmda confirma estrategia aceada do pt em manter lula candidato do blog do rovai  htï¿½,Mon May 14 16:31:47 +0000 2018,False,DalvaFigueiredo,Brasilia,"Amapï¿½, Brasil",,positivo

 @caamaior nas ruas de londres  passeata pede 'lula livre' ,Mon May 14 16:31:51 +0000 2018,False,nelsoninter_,Atlantic Time (Canada),sï¿½o paulo,,positivo

 @joelmdecarvalho video jurista carol proner diz que libeacao de lula depende de mobilizacao nas ruas  via @ig,Mon May 14 16:31:52 +0000 2018,False,Supervisora,Brasilia,Brasil,,positivo

 @lucasfreitas270 bolsonaro dispara e deixa lula  marina  ciro gomes e alckmin pra tras #topbuzzbrasil ,Mon May 14 16:31:52 +0000 2018,False,abelardoamj,,Caruaru PE Brasil,,negativo

pesquisa sem lula  bolsonaro lidera  seguido por marina eï¿½ciro  ,Mon May 14 16:31:52 +0000 2018,False,Z1Noticia,Brasilia,,,negativo

" @jdanieldf espancador de mulher no stf

ï¿½caldas  ligado ao pt  teve seu nome levado a lula tinha apoio do entao ministro da justica  tï¿½",Mon May 14 16:31:56 +0000 2018,False,nonaGeGe,Santiago,"Trappist-1 Star, Goldilocks ",,neutro

@adrianohidalgo cadelinha do lula lula manda ela rolar  ela rola lula manda ela lamber  ela lambe,Mon May 14 16:31:58 +0000 2018,False,phrp1969b,,Brasï¿½lia,,negativo

@gleisi lula esta e continuara preso parem de agir como doentes e sumam de brasilia,Mon May 14 16:31:59 +0000 2018,False,joaoverdade1,Pacific Time (US & Canada),,,negativo

@melhorpe @sargentofahur e eu pensei que lugar de bandido era na cadeia  sem receber nenhum indulto  igual o lula,Mon May 14 16:32:07 +0000 2018,False,marlonnvictor,Brasilia,"Minas Gerais,Brasil",,negativo

@canaldootario para quem quer votar no lula  sugiro comprar um delorean ,Mon May 14 16:32:08 +0000 2018,False,Francis96504914,,,,negativo

 @depmarcomaia ï¿½nos do direito vamos fazer a nossa pae  cada um ajuda de um jeito  mas temos ceeza de que a solucao nao sai do direiï¿½,Mon May 14 16:32:10 +0000 2018,False,Aloisiofcs,Brasilia,Minas Gerais,,neutro

 @gleisi mais uma pesquisa  lula continua na frente  com o dobro de votos de quem esta em segundo lugar sao 36 dias fora do convivio daï¿½,Mon May 14 16:37:55 +0000 2018,False,Warley_Lopes,Brasilia,Sta Bï¿½rbara e Gyn,,positivo

 @lulapelobrasil o povo quer no palacio do planalto a volta do melhor presidente de todos os tempos  ,Mon May 14 16:37:55 +0000 2018,False,Solka1578,,,,positivo

caui o numero dos que consideram a prisao de lula justa de 55% para 51%  nao informam o numero de contrarios  90% nï¿½ ,Mon May 14 16:37:57 +0000 2018,False,rafaelmartelo,Santiago,,,negativo

 @veja bolsonaro mantem lideranca em cenario sem lula  diz pesquisa cnt ,Mon May 14 16:37:59 +0000 2018,False,soabcampos,Brasilia,Brasil,,negativo

assim como @gleisi  (cada um no seu chiqueiro) @gilmarmendes precisa ser contido  tiveram seus 15 minutos de fama ï¿½ ,Mon May 14 16:37:59 +0000 2018,False,RepBianchi,,Espirito Santo - Brasil,,neutro

 @garygaribaldi que e o melhor nome pra vice do lula,Mon May 14 16:37:59 +0000 2018,False,DirceGenoinaSoa,Brasilia,Santo Andrï¿½ - SP,,neutro

 @esclareceu dia dos namorados chegando e eu to so o lula molusco ,Mon May 14 16:38:01 +0000 2018,False,pqjapaaa,,"Cabo Frio, Brasil",,neutro

 @dmptsp lula segue lider em todas as pesquisas #lulalivre #lulainocente #lulapresidente  via @lulapelobrasil,Mon May 14 16:38:02 +0000 2018,False,pauloeduwcski,Brasilia,no cafï¿½ do pedï¿½gio,,positivo

gimar precisa uegente de um susto e de um sus tb ,Mon May 14 16:38:02 +0000 2018,False,MaxBrasil2000,Pacific Time (US & Canada),,,neutro

esquerda caviar lula errou ao entregarse ao regimeï¿½ditatorial  ,Mon May 14 16:38:03 +0000 2018,False,cridaonews1,,ARAï¿½ATUBA-SP,,negativo

"

#pt tem que apresentar o vice do presidente lula  celso amorim e o mais capacitado  para tï¿½ ",Mon May 14 16:38:05 +0000 2018,False,GILSantana1080,Brasilia,"Bahia, Brasil",,positivo

 @gleisi mais uma pesquisa  lula continua na frente  com o dobro de votos de quem esta em segundo lugar sao 36 dias fora do convivio daï¿½,Mon May 14 16:38:06 +0000 2018,False,hudsoncunha,Brasilia,Brasilia,,positivo

 @rodrigorobles01 a acusacao sem provas contra o reitor da ufsc nao e muito diferente da acusacao sem provas contra lula a triste diferï¿½,Mon May 14 16:38:07 +0000 2018,False,taniaeginaramos,,Florianï¿½polis SC ,,positivo

convite para morar junto com ele em curitiba ,Mon May 14 16:38:07 +0000 2018,False,Maurcio_Rossi,,,,neutro

 @anavilarinno deve da um desespero nos golpistas  ter que prender lula pra terem chances de vencer  ai vem a pesquisa mostra lula na frï¿½,Mon May 14 16:38:08 +0000 2018,False,pauloeduwcski,Brasilia,no cafï¿½ do pedï¿½gio,,positivo

 @esclareceu dia dos namorados chegando e eu to so o lula molusco ,Mon May 14 16:38:09 +0000 2018,False,AlisonBento3,,"Peabiru, Brasil",,neutro

@gatoporlebre @oglobopolitica que mania de perseguicao vcs ptralhas tem lula foi condenado por mais de 15 juizesvai chorar na cama,Mon May 14 16:38:11 +0000 2018,False,helio_mano,,"Rio de Janeiro, Brasil",,negativo

ate o lula se entregou para a policia e nada de vc se entregar para mim afs ï¿½ iali kkkkk ,Mon May 14 16:38:14 +0000 2018,False,NogueiraRF,Pacific Time (US & Canada),"Irajï¿½, Rio de janeiro",,negativo

@gleisi lula e condenado e presidiario  logo nao e candidato  vc vai seguir o mesmo caminho,Mon May 14 16:38:17 +0000 2018,False,jarbas_leonardo,,"Rio de Janeiro, Brasil",,negativo

 @delucca ja estao querendo enfiar uma possivel vitoria de alckmin ou bolsonaro na conta do pt  porque este nao desistiu da candidaturaï¿½,Mon May 14 16:38:18 +0000 2018,False,LuccaFantuzzi,,Rio de Igrejinha,,negativo

@elpais_brasil com lula sem lula ele e o primeiro lula so chega em primeiro em fraudes,Mon May 14 16:38:19 +0000 2018,False,TobaruelaBrunno,,"Sï¿½o Paulo, Brasil",,negativo

 @lindberghfarias os numeros da nova pesquisa cnt sensus sao arrasadores lula segue liderando mesmo privado de liberdade na sua ausencï¿½,Mon May 14 16:38:20 +0000 2018,False,Warley_Lopes,Brasilia,Sta Bï¿½rbara e Gyn,,positivo

 @emanoel1953 herson capri ï¿½o mundo inteiro ja sabe que lula e inocente seu governo foi o melhor  que governou para o povo eu estou pï¿½,Mon May 14 16:38:21 +0000 2018,False,PretaLulaSiva,,,,positivo

 @lindberghfarias os numeros da nova pesquisa cnt sensus sao arrasadores lula segue liderando mesmo privado de liberdade na sua ausencï¿½,Mon May 14 16:38:29 +0000 2018,False,vladdico,Brasilia,"Salvador, Bahia, Brasil",,positivo

 @brasil247 rede lula livre de radio entra no ar nesta segundafeira ,Mon May 14 16:38:29 +0000 2018,False,PretaLulaSiva,,,,positivo

e melhor apoiar o lula logo ,Mon May 14 16:38:32 +0000 2018,False,RedesCiro,Brasilia,"Brasï¿½lia, Brasil",,positivo

 @caamaior sem lula  vence o fascismo com lula fica assim  segundo a pesquisa divulgada nesta 2ï¿½ feira pela cnt/mda  lula teria 32 4%ï¿½,Mon May 14 16:38:33 +0000 2018,False,Billylflf,Brasilia,Porto Alegre,,positivo

 @salseira deputados do pt falam em obstruir votacoes enquanto lula nao for solto e chamam sergio moro de bandido  criminoso e lixo ,Mon May 14 16:38:33 +0000 2018,False,pacesartupy,,Fortal/BRASIL,,negativo

@uol como e isso se o bnds esta pagando as dividas que o lula ladrao junto com a quadrilha do pt paido dos trambiï¿½ ,Mon May 14 16:52:48 +0000 2018,False,siumennunes1231,,,,negativo

 @queilesoares lula sobe na pesquisa cnt apos prisao ,Mon May 14 16:52:50 +0000 2018,False,Pollima36,,,,positivo

estado de excecao a era lula e oï¿½poslula  ,Mon May 14 16:52:50 +0000 2018,False,MiguelBBargas,Brasilia,"Sï¿½o Paulo, Brasil",,neutro

 @blogdojefferson de acordo com a pesquisa cnt divulgada hoje  51 0% consideram que a prisao do expresidente lula e justa e voce  achaï¿½,Mon May 14 16:52:51 +0000 2018,False,rocoguima,Brasilia,,,negativo

 @humbeocostapt pesquisa cnt/mda mostra que lula lidera com folga ,Mon May 14 16:52:52 +0000 2018,False,siilvoney,,Brasil,,positivo

@pcdob_oficial essa estrategia estabelecida pela unasul e determinada por lula (o geopolitico) que a unica forma hoï¿½ ,Mon May 14 16:56:12 +0000 2018,False,ricardo18620193,,"Rio de Janeiro, Brasil",,neutro

 @elpais_brasil em todos os cenarios de primeiro turno sem lula  bolsonaro assume a ponta  oscilando entre 20 7% e 18 3% ,Mon May 14 16:56:13 +0000 2018,False,matheusbht,Brasilia,Belo Horizonte,,negativo

@glauber_braga kkk  a globo  fodeu  com o supremoadeus  supremoo povo nao e bobo  e acordouo fim do sï¿½ ,Mon May 14 16:56:14 +0000 2018,False,lula_nery,,,,negativo

sem lula  bolsonaro lidera comï¿½folga  ,Mon May 14 16:56:17 +0000 2018,False,Celso_Gazeta,Brasilia,"Curitiba, Paranï¿½",,negativo

@gleisi mas vamos pensar pelo lado positivo  lula ta com 36 dias sem roubar,Mon May 14 16:56:19 +0000 2018,False,hangerps,,"Eusï¿½bio, Brasil",,negativo

 @brgil39 diretora do ibope admite sem lula  eleicao e so desalento e desesperanca ,Mon May 14 16:56:20 +0000 2018,False,abssoares,,"Poï¿½os de Caldas, Brasil",,positivo

 @gfiuza_oficial tite convoca a selecao e o brasil continua aguardando a convocacao de dirceu lula ja esta concentrado,Mon May 14 16:56:21 +0000 2018,False,fmggaraujo,,"Sï¿½o Paulo, Brasil",,neutro

 @duobrasil41 pesquisa cnt lula nao cai apos prisao  lidera em todos os cenarios e seria facilmente eleito presidente do brasil  ,Mon May 14 16:56:21 +0000 2018,False,DeiseQuintilia1,,"Rio de Janeiro, Brasil",,positivo

sem lula  bolsonaro lidera comï¿½folga  ,Mon May 14 16:56:24 +0000 2018,False,Contraponto_jor,,,,negativo

baixar custo do staf de lula mas vai pro inferno seu idiota  lula condenado e preso  deixa de ser cidadao como qï¿½ ,Mon May 14 16:56:25 +0000 2018,False,BR100PTRALHAS,Pacific Time (US & Canada),,,negativo

hoje  a direcao nacional do pt deu inicio a montagem da campanha a presidencia de lula e isso ai nao tem plano a ï¿½ ,Mon May 14 16:56:26 +0000 2018,False,RogerioCorreia_,Brasilia,Belo Horizonte,,positivo

 @macsanto787 para 90 3% a justica brasileira nao age de forma igual para todos no segundo turno  o expresidente lula vence em todos oï¿½,Mon May 14 16:56:27 +0000 2018,False,marcaogui,Brasilia,Aracaju - Sergipe,,positivo

por enquanto a direita concorda e apoia a imparcialidadequero ver quando o jogo virar e todos sabemos que a naï¿½ ,Mon May 14 16:56:28 +0000 2018,False,brasjs,Brasilia,,,positivo

 @rogeriocorreia_ mais uma pesquisa de intencao de voto divulgada hoje  14 de maio mais uma vez  lula no topo com folga segundo o cntï¿½,Mon May 14 16:56:30 +0000 2018,False,rnumeriano,,Recife,,positivo

"@flavioautista porra

entao tem que soltar o lula",Mon May 14 16:56:33 +0000 2018,False,Na_poleao,,"Santo Andrï¿½, Brasil",,positivo

 @muylaee metade do tempo de jornalismo da globonews e dedicado a prorrogacoes de inqueritos contra temer ninguem fala de joesley batï¿½,Mon May 14 16:56:35 +0000 2018,False,ValmirLorosae,Brasilia,Vila Velha,,neutro

 @humbeocostapt na vigilia lula livre  em curitiba  uma caa de 30 metros chegou da amazonia para trazer palavras de esperanca e resiï¿½,Mon May 14 16:56:36 +0000 2018,False,EdsonGleipson,,,,positivo

@jvlisboa9 @rembodinho @gen_villasboas pois e  cade o valentao que ameacou o acovardado stj para prender o lula meï¿½ ,Mon May 14 16:56:38 +0000 2018,False,aunsoy,Buenos Aires,Buenos Aires,,neutro

 @delucca mais uma da pesquisa cnt/mda de hoje lula e o candidato  entre todos  com maior potencial positivo e tem o terceiro menor potï¿½,Mon May 14 16:56:41 +0000 2018,False,PeterPerson,Brasilia,Paranï¿½,,positivo

 @rodrigorobles01 a acusacao sem provas contra o reitor da ufsc nao e muito diferente da acusacao sem provas contra lula a triste diferï¿½,Mon May 14 16:56:41 +0000 2018,False,gmnpipoca,,,,positivo

 @rogeriocorreia_ hoje  a direcao nacional do pt deu inicio a montagem da campanha a presidencia de lula e isso ai nao tem plano a  bï¿½,Mon May 14 16:56:42 +0000 2018,False,cerebrobh,Brasilia,,,positivo

 @caacapital a pesquisa mostra que  com ou sem lula da disputa  a intencao de votos a bolsonaro muda muito pouco ,Mon May 14 16:56:45 +0000 2018,False,TeresaIanino4,,"Rio de Janeiro, Brasil",,neutro

 @deputadofederal #inglaterra em londres  o democracy for brasil paicipou da marcha dos trabalhadores do reino unido clamando lula liï¿½,Mon May 14 16:56:46 +0000 2018,False,pauloaa1969,Pacific Time (US & Canada),"Itajai, SC",,positivo

 @joaquimestevam o mito lula  quem lucrou foi banqueiros  empresarios  paises ditatoriais  amigos e familia distribuiram migalhas ao poï¿½,Mon May 14 17:08:31 +0000 2018,False,NTomazzon,America/Sao_Paulo,RS-Brasil,,negativo

 @alberi_petersen gleisi  minhas reverencias pelo seu trabalho e lideranca  orgulho de vc  quero votar no lula ,Mon May 14 17:12:56 +0000 2018,False,PatrialivreBras,Pacific Time (US & Canada),Brasil,,positivo

@gleisi eu sobrevivi com graves sequelas a 8 anos de governo do lula e a 6 anos de governo da dilma rousseffe aiï¿½ ,Mon May 14 17:12:59 +0000 2018,False,DALTONJARAUJOF,,"Sï¿½o Josï¿½ dos Pinhais, Brasil",,negativo

num segundo turno lula venceria temer o golpista por 85% a 15% dos votos validos isso diz muita coisa ,Mon May 14 17:12:59 +0000 2018,False,franciscoamr,Bern,"Munich, Germany",,positivo

o stf de tanto se apequenar chegara o momento q nao sera mais necessaria a sua existencia ,Mon May 14 17:13:00 +0000 2018,False,dmmaria,Brasilia,Umuarama-PR,,positivo

 @implicante_org lula lutava contra a reforma previdenciaria  investia r$ 9 milhoes na previdencia privada ,Mon May 14 17:13:05 +0000 2018,False,Luiscsilvatorre,,"Newcastle Upon Tyne, England",,positivo

 @aracipatriota lula nunca prestou minha gente homem que lancou lula no sindicalismo abre o coracao lula sempre foi um bom vivantï¿½,Mon May 14 17:13:07 +0000 2018,False,MissMarplle,Buenos Aires,,,negativo

 @joaquimestevam o mito lula  quem lucrou foi banqueiros  empresarios  paises ditatoriais  amigos e familia distribuiram migalhas ao poï¿½,Mon May 14 17:13:07 +0000 2018,False,Gil_BR_MG,Pacific Time (US & Canada),,,negativo

 @veja bolsonaro mantem lideranca em cenario sem lula  diz pesquisa cnt ,Mon May 14 17:13:09 +0000 2018,False,Neia7Enas,Brasilia,"Montevideu, Uruguai",,negativo

@lakewould lula poderia estar preso  em meus bracos,Mon May 14 17:13:10 +0000 2018,False,starsbeaks,,"Santa Catarina, Brasil",,positivo

 @kallil_oliveira a direita sem votos montou um circo juridico/midiatico para prender lula no intuito de vencer as eleicoes no tapetao ï¿½,Mon May 14 17:13:10 +0000 2018,False,CassiaVF,Santiago,Rio RJ,,positivo

sem lula  bolsonaro lidera em todos os cenarios  indica pesquisa cnt/mda veja mais no uol acesse ,Mon May 14 17:13:12 +0000 2018,False,MeliandeRose,,"Rio de Janeiro, Brasil",,negativo

 @luizmuller comandantes da aeronautica inocentam lula e dizem que ele nao interferiu em compra deï¿½cacas  ,Mon May 14 17:13:16 +0000 2018,False,anisionogueira,Brasilia,Araï¿½atuba-SP-BRASIL,,positivo

@revistaistoe lula marginal,Mon May 14 17:13:17 +0000 2018,False,alex_santanag1,,Brasil,,negativo

 @lulapelobrasil o povo quer no palacio do planalto a volta do melhor presidente de todos os tempos  ,Mon May 14 17:13:20 +0000 2018,False,marioakira308,,,,positivo

 @pauloba30395640 sob toffoli o stf assumira ser a cara do golpe ao manter paulo preto solto e lula preso ate depois das eleicoes  ,Mon May 14 17:13:20 +0000 2018,False,luciano0951,,Sï¿½o Paulo,,positivo

@exame eu ja disse  com lula tambem   lula ta moo junto com o pt,Mon May 14 17:13:23 +0000 2018,False,SousaElias40,,,,negativo

